index,IDM_AIC,IDM_BIC,SIDM_AIC,SIDM_BIC
11,3993.975214139671,4020.5413160751227,4140.021940183207,4177.214482892839
12,2950.962883325449,2977.5289852609008,3076.692212280542,3113.8847549901743
13,3078.194015644829,3104.7601175802806,3425.8223120156345,3463.0148547252666
14,3561.089493295852,3587.655595231304,2092.113016380331,2129.305559089963
15,2972.30503960234,2998.8711415377916,2799.4350468288803,2836.6275895385124
16,2322.742644483346,2349.3087464187975,1867.556209176729,1904.748751886361
17,3613.9936404599184,3640.55974239537,3542.1011813068117,3579.293724016444
18,2035.1695688404848,2061.7356707759363,1967.8223606294785,2005.0149033391106
19,2285.0249441995024,2311.591046134954,1867.9655450922776,1905.1580878019097
20,1747.4911235763607,1774.0572255118122,1887.060476265874,1924.2530189755062
21,5089.084417977978,5115.650519913429,4708.003907946892,4745.196450656524
22,3858.9232914863105,3885.489393421762,3983.1852105441503,4020.3777532537824
23,6619.871695971416,6646.437797906867,3693.1920536823523,3730.3845963919844
